Metric	ASD-COMP vs REST	BPD-COMP vs REST	COMP-COMP vs REST
TP	23	10	26
TN	52	70	57
FP	34	8	19
FN	11	32	18
P	57	18	45
N	63	102	75
acc	62.5	66.6667	69.1667
sens	67.6471	23.8095	59.0909
spec	60.4651	89.7436	75
FPR	39.5349	10.2564	25
PPV	40.3509	55.5556	57.7778
NPV	82.5397	68.6275	76
GMean	1.13187	1.06561	1.15798
AUC	0.667408	0.635073	0.646531
AUC_lower	0.526628	0.458803	0.567502
AUC_upper	0.754494	0.676729	0.773407
BAC	64.0561	56.7766	67.0455
Fscore	0.505495	0.333333	0.58427
MCC	0.253674	0.18104	0.33934
pLR	1.71107	2.32143	2.36364
nLR	0.535068	0.84898	0.545455
PSI	22.8906	24.183	33.7778
NNP	4.36861	4.13514	2.96053
NND	3.55718	7.37838	2.93333
ECE	0.9	1.11667	0.833333
Youden	0.281122	0.135531	0.340909
DOR	2.92777	5.38903	5.58678
Kappa	0.23339	0.156118	0.339286
Kappa_Z	2.11549	1.28578	3.71491
Kappa_P	0.0343882	0.19852	0.000203274