name_short,floor_pp,ceiling_pp
BOKI_08_ch_L,137,572
BOKI_08_ch_R,128,535
BOKI_08_ch_L,137,572
BOKI_08_ch_R,128,535
BOKI_10_ch_L,150,589
BOKI_10_ch_R,118,482
BOKI_10_ch_L,150,589
BOKI_10_ch_R,118,482
BOKI_13_ch_L,66,266
BOKI_13_ch_R,71,302
BOKI_13_ch_L,66,266
BOKI_13_ch_R,71,302
BOKI_14_ch_L,92,369
BOKI_14_ch_R,57,255
BOKI_14_ch_L,92,369
BOKI_14_ch_R,57,255
BOKI_15_ch_L,144,580
BOKI_15_ch_R,143,600
BOKI_15_ch_L,144,580
BOKI_15_ch_R,143,600
BOKI_16_ch_L,128,556
BOKI_16_ch_R,129,573
BOKI_16_ch_L,128,556
BOKI_16_ch_R,129,573
BOKI_17_ch_L,78,503
BOKI_17_ch_R,130,507
BOKI_17_ch_L,78,503
BOKI_17_ch_R,130,507
BOKI_19_ch_L,135,601
BOKI_19_ch_R,116,507
BOKI_19_ch_L,135,601
BOKI_19_ch_R,116,507
BOKI_20_ch_L,85,323
BOKI_20_ch_R,69,279
BOKI_20_ch_L,85,323
BOKI_20_ch_R,69,279
BOKI_22_ch_L,76,308
BOKI_22_ch_R,118,484
BOKI_22_ch_L,76,308
BOKI_22_ch_R,118,484
BOKI_23_ch_L,127,839
BOKI_23_ch_R,142,658
BOKI_23_ch_L,127,839
BOKI_23_ch_R,142,658
BOKI_24_ch_L,136,545
BOKI_24_ch_R,65,288
BOKI_24_ch_L,136,545
BOKI_24_ch_R,65,288
BOKI_25_ch_L,141,583
BOKI_25_ch_R,128,538
BOKI_25_ch_L,141,583
BOKI_25_ch_R,128,538
BOKI_26_ch_L,156,789
BOKI_26_ch_R,151,684
BOKI_26_ch_L,156,789
BOKI_26_ch_R,151,684
BOKI_27_ch_L,93,364
BOKI_27_ch_R,64,285
BOKI_27_ch_L,93,364
BOKI_27_ch_R,64,285
BOKI_28_ch_L,70,274
BOKI_28_ch_R,62,260
BOKI_28_ch_L,70,274
BOKI_28_ch_R,62,260
BOKI_29_ch_L,140,576
BOKI_29_ch_R,154,581
BOKI_29_ch_L,140,576
BOKI_29_ch_R,154,581
BOKI_30_ch_L,76,323
BOKI_30_ch_R,129,745
BOKI_30_ch_L,76,323
BOKI_30_ch_R,129,745
BOKI_33_ch_L,88,370
BOKI_33_ch_R,77,322
BOKI_33_ch_L,88,370
BOKI_33_ch_R,77,322
BOKI_34_ch_L,156,591
BOKI_34_ch_R,144,580
BOKI_34_ch_L,156,591
BOKI_34_ch_R,144,580
BOKI_36_ch_L,83,351
BOKI_36_ch_R,88,400
BOKI_36_ch_L,83,351
BOKI_36_ch_R,88,400
BOKI_37_ch_L,125,511
BOKI_37_ch_R,138,579
BOKI_37_ch_L,125,511
BOKI_37_ch_R,138,579
BOKI_40_ch_L,131,568
BOKI_40_ch_R,74,322
BOKI_40_ch_L,131,568
BOKI_40_ch_R,74,322
BOKI_42_ch_L,76,332
BOKI_42_ch_R,47,344
BOKI_42_ch_L,76,332
BOKI_42_ch_R,47,344
BOKI_43_ch_L,133,557
BOKI_43_ch_R,93,386
BOKI_43_ch_L,133,557
BOKI_43_ch_R,93,386
BOKI_45_ch_L,145,652
BOKI_45_ch_R,132,629
BOKI_45_ch_L,145,652
BOKI_45_ch_R,132,629
BOKI_49_ch_L,139,587
BOKI_49_ch_R,128,589
BOKI_49_ch_L,139,587
BOKI_49_ch_R,128,589
BOKI_50_ch_L,137,555
BOKI_50_ch_R,143,582
BOKI_50_ch_L,137,555
BOKI_50_ch_R,143,582
BOKI_51_ch_L,132,537
BOKI_51_ch_R,145,630
BOKI_51_ch_L,132,537
BOKI_51_ch_R,145,630
BOKI_52_ch_L,146,605
BOKI_52_ch_R,154,635
BOKI_52_ch_L,146,605
BOKI_52_ch_R,154,635
BOKI_53_ch_L,140,702
BOKI_53_ch_R,130,704
BOKI_53_ch_L,140,702
BOKI_53_ch_R,130,704
BOKI_54_ch_L,114,604
BOKI_54_ch_R,135,649
BOKI_54_ch_L,114,604
BOKI_54_ch_R,135,649
BOKI_55_ch_L,80,430
BOKI_55_ch_R,134,596
BOKI_55_ch_L,80,430
BOKI_55_ch_R,134,596
BOKI_57_ch_L,67,290
BOKI_57_ch_R,60,250
BOKI_57_ch_L,67,290
BOKI_57_ch_R,60,250
BOKI_58_ch_L,68,297
BOKI_58_ch_R,80,367
BOKI_58_ch_L,68,297
BOKI_58_ch_R,80,367
BOKI_59_ch_L,87,358
BOKI_59_ch_R,146,580
BOKI_59_ch_L,87,358
BOKI_59_ch_R,146,580
BOKI_60_ch_L,70,300
BOKI_60_ch_R,135,541
BOKI_60_ch_L,70,300
BOKI_60_ch_R,135,541
BOKI_61_ch_L,131,513
BOKI_61_ch_R,75,297
BOKI_61_ch_L,131,513
BOKI_61_ch_R,75,297
ch_L_ML_001_TD_TD,124,499
ch_L_ML_001_TD_TD,124,499
ch_R_ML_001_TD_TD,153,669
ch_R_ML_001_TD_TD,153,669
ch_L_ML_002_TD_TD,139,651
ch_L_ML_002_TD_TD,139,651
ch_R_ML_002_TD_TD,122,542
ch_R_ML_002_TD_TD,122,542
ch_L_ML_003_TD_TD,60,291
ch_L_ML_003_TD_TD,60,291
ch_R_ML_003_TD_TD,139,628
ch_R_ML_003_TD_TD,139,628
ch_L_ML_004_TD_TD,86,350
ch_L_ML_004_TD_TD,86,350
ch_R_ML_004_TD_TD,145,558
ch_R_ML_004_TD_TD,145,558
ch_L_ML_005_TD_TD,84,348
ch_L_ML_005_TD_TD,84,348
ch_R_ML_005_TD_TD,103,479
ch_R_ML_005_TD_TD,103,479
ch_L_ML_006_TD_TD,164,733
ch_L_ML_006_TD_TD,164,733
ch_R_ML_006_TD_TD,106,512
ch_R_ML_006_TD_TD,106,512
ch_L_ML_008_TD_TD,140,698
ch_L_ML_008_TD_TD,140,698
ch_R_ML_008_TD_TD,74,352
ch_R_ML_008_TD_TD,74,352
ch_L_ML_009_TD_TD,128,611
ch_L_ML_009_TD_TD,128,611
ch_R_ML_009_TD_TD,145,647
ch_R_ML_009_TD_TD,145,647
ch_L_ML_010_TD_TD,130,526
ch_L_ML_010_TD_TD,130,526
ch_R_ML_010_TD_TD,149,617
ch_R_ML_010_TD_TD,149,617
ch_L_ML_011_ASD_TD,89,410
ch_L_ML_011_ASD_TD,89,410
ch_R_ML_011_ASD_TD,79,317
ch_R_ML_011_ASD_TD,79,317
ch_L_ML_014_TD_ASD,151,658
ch_L_ML_014_TD_ASD,151,658
ch_R_ML_014_TD_ASD,71,308
ch_R_ML_014_TD_ASD,71,308
ch_L_ML_016_TD_ASD,74,313
ch_L_ML_016_TD_ASD,74,313
ch_R_ML_016_TD_ASD,84,344
ch_R_ML_016_TD_ASD,84,344
ch_L_ML_017_TD_ASD,141,601
ch_L_ML_017_TD_ASD,141,601
ch_R_ML_017_TD_ASD,77,324
ch_R_ML_017_TD_ASD,77,324
ch_L_ML_019_TD_ASD,70,301
ch_L_ML_019_TD_ASD,70,301
ch_R_ML_019_TD_ASD,149,603
ch_R_ML_019_TD_ASD,149,603
ch_L_ML_020_TD_ASD,127,623
ch_L_ML_020_TD_ASD,127,623
ch_R_ML_020_TD_ASD,76,349
ch_R_ML_020_TD_ASD,76,349
ch_L_ML_021_TD_ASD,87,337
ch_L_ML_021_TD_ASD,87,337
ch_R_ML_021_TD_ASD,88,357
ch_R_ML_021_TD_ASD,88,357
ch_L_ML_023_TD_ASD,109,557
ch_L_ML_023_TD_ASD,109,557
ch_R_ML_023_TD_ASD,92,358
ch_R_ML_023_TD_ASD,92,358
ch_L_ML_024_TD_ASD,148,581
ch_L_ML_024_TD_ASD,148,581
ch_R_ML_024_TD_ASD,79,307
ch_R_ML_024_TD_ASD,79,307
ch_L_ML_025_TD_ASD,132,537
ch_L_ML_025_TD_ASD,132,537
ch_R_ML_025_TD_ASD,122,618
ch_R_ML_025_TD_ASD,122,618
ch_L_ML_026_TD_TD,112,470
ch_L_ML_026_TD_TD,112,470
ch_R_ML_026_TD_TD,144,600
ch_R_ML_026_TD_TD,144,600
ch_L_ML_027_TD_ASD,151,634
ch_L_ML_027_TD_ASD,151,634
ch_R_ML_027_TD_ASD,168,651
ch_R_ML_027_TD_ASD,168,651
ch_L_ML_029_TD_ASD,76,298
ch_L_ML_029_TD_ASD,76,298
ch_R_ML_029_TD_ASD,69,284
ch_R_ML_029_TD_ASD,69,284
ch_L_ML_030_TD_ASD,74,327
ch_L_ML_030_TD_ASD,74,327
ch_R_ML_030_TD_ASD,117,515
ch_R_ML_030_TD_ASD,117,515
ch_L_ML_031_TD_ASD,67,269
ch_L_ML_031_TD_ASD,67,269
ch_R_ML_031_TD_ASD,78,380
ch_R_ML_031_TD_ASD,78,380
ch_L_ML_032_TD_ASD,71,316
ch_L_ML_032_TD_ASD,71,316
ch_R_ML_032_TD_ASD,73,325
ch_R_ML_032_TD_ASD,73,325
ch_L_ML_033_TD_ASD,125,514
ch_L_ML_033_TD_ASD,125,514
ch_R_ML_033_TD_ASD,83,339
ch_R_ML_033_TD_ASD,83,339
ch_L_ML_034_TD_ASD,139,631
ch_L_ML_034_TD_ASD,139,631
ch_R_ML_034_TD_ASD,134,740
ch_R_ML_034_TD_ASD,134,740
ch_L_ML_035_TD_ASD,112,480
ch_L_ML_035_TD_ASD,112,480
ch_R_ML_035_TD_ASD,98,414
ch_R_ML_035_TD_ASD,98,414
ch_L_ML_036_TD_TD,155,781
ch_L_ML_036_TD_TD,155,781
ch_R_ML_036_TD_TD,131,627
ch_R_ML_036_TD_TD,131,627
ch_L_ML_037_TD_TD,136,555
ch_L_ML_037_TD_TD,136,555
ch_R_ML_037_TD_TD,129,582
ch_R_ML_037_TD_TD,129,582
ch_L_ML_039_TD_ASD,81,322
ch_L_ML_039_TD_ASD,81,322
ch_R_ML_039_TD_ASD,88,364
ch_R_ML_039_TD_ASD,88,364
ch_L_ML_040_TD_TD,122,561
ch_L_ML_040_TD_TD,122,561
ch_R_ML_040_TD_TD,134,759
ch_R_ML_040_TD_TD,134,759
ch_L_ML_042_TD_ASD,68,266
ch_L_ML_042_TD_ASD,68,266
ch_R_ML_042_TD_ASD,58,395
ch_R_ML_042_TD_ASD,58,395
ch_L_ML_043_TD_ASD,136,638
ch_L_ML_043_TD_ASD,136,638
ch_R_ML_043_TD_ASD,94,419
ch_R_ML_043_TD_ASD,94,419
ch_L_ML_044_TD_TD,83,361
ch_L_ML_044_TD_TD,83,361
ch_R_ML_044_TD_TD,139,613
ch_R_ML_044_TD_TD,139,613
ch_L_ML_045_TD_ASD,134,575
ch_L_ML_045_TD_ASD,134,575
ch_R_ML_045_TD_ASD,81,297
ch_R_ML_045_TD_ASD,81,297
ch_L_ML_049_TD_ASD,65,263
ch_L_ML_049_TD_ASD,65,263
ch_R_ML_049_TD_ASD,78,316
ch_R_ML_049_TD_ASD,78,316
ch_L_ML_050_TD_ASD,109,500
ch_L_ML_050_TD_ASD,109,500
ch_R_ML_050_TD_ASD,133,582
ch_R_ML_050_TD_ASD,133,582
ch_L_ML_051_TD_ASD,46,283
ch_L_ML_051_TD_ASD,46,283
ch_R_ML_051_TD_ASD,76,307
ch_R_ML_051_TD_ASD,76,307
ch_L_ML_052_TD_ASD,64,302
ch_L_ML_052_TD_ASD,64,302
ch_R_ML_052_TD_ASD,137,556
ch_R_ML_052_TD_ASD,137,556
